IMO;Design Speed (knots)
6507257;13
6275881;18.5
6353280;15
6353288;15
6352219;17.5
6352236;17.5
6418323;19.9
6418331;18.52122302
6418335;18.52122302
6422107;18.52122302
6422115;18.52122302
6369054;11
6511941;12.21954023
6331341;13
6331349;13
6359377;17
6359385;17
6359387;17
6359395;17
6383015;16.6
6404990;13.29108033
6408493;13.29108033
6408338;13.29108033
6378553;16
6350888;23.9
6378179;14.2
6336264;12
6336267;12
6384320;14.5
6363853;15.5
6363905;15.5
6363914;15.5
6363933;15.5
6386061;16.1
6386071;16.1
6386079;16.1
6386081;16.1
6367636;19.5
6367957;17
6367965;17
6367973;17
6367974;17
6367982;15.8
6393321;12.21954023
6409703;10
6409711;10
6409719;10
6410922;12
6334124;18.52122302
6455217;13.29108033
6450791;13.29108033
6440909;10
6440917;10
6440925;10
6440927;10
6440937;10
6440945;10
6440953;10
6440954;10
6440962;10
6440970;10
6389572;11
6389573;11
6389581;11
6389589;11
6391825;14
6364331;16
6380995;15.3
6381005;15.3
6381013;15.3
6381014;15.3
6381022;15.3
6381030;15.3
6365691;16
6325937;14
6429192;15
6389597;11
6389601;11
6389609;11
6389617;11
6389625;11
6389633;11
6406219;16.2
6400084;14.6
6384757;14
6370482;20
6395955;15
6395963;15
6404597;30.5
6404705;30.5
5862983;14.01548052
6383528;10.5
6383538;10.5
6383546;10.5
6383547;10.5
6383555;10.5
6408485;7
6369845;13
6426301;13.5
6390182;15.3
6390190;23.75
6394580;15.1
6394588;15.5
6389188;12
6389196;12
6410723;12.5
6410731;12.5
6395208;14.01548052
6401883;12.21954023
6407065;10
6398906;10
6398907;10
6406841;10
6398915;12.21954023
6398923;10
6389808;22
6413435;14.01548052
6397531;14.01548052
6401631;14.07
6401639;10.5
6392513;15
6401899;14.9
6395232;13.29108033
