imo;speed 0.0 - 0.5;speed 0.5 - 1.0;speed 1.0 - 1.5;speed 1.5 - 2.0;speed 2.0 - 2.5;speed 2.5 - 3.0;speed 3.0 - 3.5;speed 3.5 - 4.0;speed 4.0 - 4.5;speed 4.5 - 5.0;speed 5.0 - 5.5;speed 5.5 - 6.0;speed 6.0 - 6.5;speed 6.5 - 7.0;speed 7.0 - 7.5;speed 7.5 - 8.0;speed 8.0 - 8.5;speed 8.5 - 9.0;speed 9.0 - 9.5;speed 9.5 - 10.0;speed 10.0 - 10.5;speed 10.5 - 11.0;speed 11.0 - 11.5;speed 11.5 - 12.0;speed 12.0 - 12.5;speed 12.5 - 13.0;speed 13.0 - 13.5;speed 13.5 - 14.0;speed 14.0 - 14.5;speed 14.5 - 15.0;speed 15.0 - 15.5;speed 15.5 - 16.0;speed 16.0 - 16.5;speed 16.5 - 17.0;speed 17.0 - 17.5;speed 17.5 - 18.0;speed 18.0 - 18.5;speed 18.5 - 19.0;speed 19.0 - 19.5;speed 19.5 - 20.0;speed 20.0 - 20.5;speed 20.5 - 21.0;speed 21.0 - 21.5;speed 21.5 - 22.0;speed 22.0 - 22.5;speed 22.5 - 23.0;speed 23.0 - 23.5;speed 23.5 - 24.0;speed 24.0 - 24.5;speed 24.5 - 25.0;speed 25.0 - 25.5;speed 25.5 - 26.0;speed 26.0 - 26.5;speed 26.5 - 27.0;speed 27.0 - 27.5;speed 27.5 - 28.0;speed 28.0 - 28.5;speed 28.5 - 29.0;speed 29.0 - 29.5;speed 29.5 - 30.0;speed >30.0
6236189;0.1002;0.0057;0.0007;0.0009;0.001;0.0028;0.0038;0.0056;0.0055;0.0041;0.0052;0.0047;0.005;0.0058;0.004;0.0049;0.0074;0.0102;0.0174;0.026;0.0249;0.0231;0.0209;0.0187;0.0375;0.0315;0.0452;0.0666;0.0316;0.0196;0.0146;0.0119;0.0151;0.0231;0.0355;0.0565;0.0838;0.0866;0.0568;0.035;0.0199;0.0105;0.005;0.0033;0.0013;0.0004;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6314533;0.5856;0.0068;0.0028;0.0025;0.0023;0.0031;0.0039;0.0017;0.0028;0.0054;0.007;0.0051;0.0068;0.0104;0.013;0.0209;0.0409;0.0646;0.0739;0.0747;0.0335;0.02;0.0079;0.0017;0.0011;0.0011;0.0003;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6130133;0.3355;0.0028;0.0033;0.0041;0.0051;0.0035;0.0023;0.0039;0.0036;0.0044;0.0059;0.0039;0.0061;0.0051;0.0066;0.0107;0.0074;0.0122;0.0061;0.015;0.0107;0.0148;0.0112;0.0082;0.0081;0.0166;0.0128;0.0276;0.0189;0.0312;0.0159;0.0319;0.0253;0.0409;0.0294;0.0347;0.0289;0.0674;0.0358;0.0361;0.0115;0.0054;0.0039;0.0074;0.0061;0.0071;0.0026;0.0015;0.0003;0;0.0002;0;0.0002;0;0;0;0;0;0;0;0
6130130;0.2105;0.0041;0.0024;0.0022;0.0017;0.0025;0.0023;0.0013;0.0023;0.0014;0.0024;0.0032;0.0032;0.0057;0.0065;0.0069;0.0073;0.0064;0.0102;0.0107;0.0087;0.0092;0.0108;0.0124;0.0144;0.0171;0.015;0.0158;0.0184;0.0246;0.0272;0.0368;0.0524;0.0648;0.0578;0.0413;0.0342;0.0385;0.0539;0.0654;0.0435;0.0255;0.0064;0.0061;0.004;0.0015;0.0005;0.0005;0.0003;0.0001;0;0;0;0;0;0;0;0;0;0;0
6152229;0.292;0.0047;0.0028;0.0024;0.0026;0.0026;0.0031;0.0024;0.0016;0.0026;0.0042;0.0024;0.0028;0.0063;0.0103;0.0192;0.0257;0.0195;0.0142;0.0179;0.0156;0.013;0.0163;0.0176;0.0184;0.0168;0.0161;0.0107;0.0117;0.0109;0.0228;0.0234;0.026;0.0309;0.0334;0.0339;0.0418;0.0527;0.0467;0.0334;0.022;0.0182;0.0142;0.006;0.0042;0.0021;0.0005;0.0005;0.0005;0.0002;0;0;0;0;0;0;0;0;0;0;0
6152237;0.3406;0.0035;0.0033;0.0045;0.0035;0.0043;0.0029;0.0019;0.0028;0.0023;0.0036;0.0047;0.0036;0.0047;0.008;0.008;0.0088;0.0101;0.0062;0.005;0.0052;0.0059;0.0111;0.0137;0.0177;0.012;0.0281;0.0206;0.0191;0.0255;0.017;0.0163;0.0241;0.0352;0.0438;0.0567;0.051;0.0447;0.0487;0.0302;0.0179;0.0073;0.0038;0.0052;0.0035;0.0029;0.0002;0.0003;0.0002;0;0.0002;0;0;0;0;0;0;0;0;0;0
6128266;0.3465;0.0077;0.0077;0.0055;0.0055;0.0067;0.0067;0.0088;0.0077;0.0039;0.0051;0.0055;0.0057;0.0055;0.0075;0.0065;0.0161;0.0159;0.0236;0.0208;0.0124;0.0069;0.0134;0.0236;0.021;0.0157;0.0183;0.0212;0.0218;0.0238;0.0287;0.0297;0.0279;0.0391;0.0368;0.0332;0.0405;0.0259;0.0155;0.0102;0.0035;0.0051;0.0039;0.0024;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6128258;0.3504;0.0034;0.0062;0.0043;0.0029;0.0036;0.0025;0.0025;0.0019;0.0023;0.0032;0.0028;0.0037;0.0076;0.0174;0.024;0.0172;0.0241;0.0153;0.0339;0.0228;0.0352;0.0295;0.0393;0.017;0.0233;0.0182;0.0226;0.0261;0.0309;0.0218;0.028;0.0201;0.0201;0.0116;0.0182;0.0119;0.0188;0.0109;0.0164;0.0084;0.0085;0.004;0.005;0.0012;0.001;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6126281;0.2886;0.008;0.0046;0.0049;0.0044;0.0038;0.004;0.0036;0.003;0.004;0.0032;0.0032;0.0046;0.0078;0.0082;0.0061;0.0141;0.0103;0.0236;0.0122;0.011;0.0086;0.0097;0.0177;0.0255;0.0234;0.0186;0.0287;0.0277;0.0314;0.022;0.0201;0.0215;0.0317;0.0338;0.0355;0.0409;0.058;0.0616;0.0181;0.0101;0.0108;0.0105;0.0013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6334985;0.8883;0.0434;0.0041;0.0017;0.0017;0.0033;0.0012;0.0037;0.0017;0.0021;0.0029;0.0012;0.0046;0.0029;0.005;0.0074;0.0021;0.0066;0.0029;0.0041;0.0025;0.0033;0.0025;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
